time,code,open,close,high,low,volume,money
2017-07-19,Y8888.XDCE,6139.054,6143.274,6162.146,6096.058000000001,402060.0,24583012600.0
2017-07-19,L8888.XDCE,9185.275,9239.153,9286.43,9177.833,468710.0,21701411600.0
2017-07-19,FU8888.XSGE,3798.6,3798.6,3798.6,3798.6,0.0,0.0
2017-07-19,RB8888.XSGE,3553.897,3634.15,3641.76,3539.324,7054254.0,255510389460.0
2017-07-19,IF8888.CCFX,3706.324,3716.2470000000003,3775.389,3627.26,25164.0,27803719440.0
2017-07-19,SF8888.XZCE,5781.965999999999,5796.675,5822.482,5745.504,17276.0,508763200.0
2017-07-19,TF8888.CCFX,97.72200000000001,97.693,97.8,97.69,12582.0,12298698350.0
2017-07-19,RM8888.XZCE,2317.978,2301.532,2321.864,2291.1079999999997,597780.0,13901361900.0
2017-07-19,CF8888.XZCE,15335.327,15400.228000000001,15455.075,15250.163999999999,178990.0,13801357500.0
2017-07-19,FB8888.XDCE,74.857,74.817,75.181,73.805,14.0,519800.0
2017-07-19,V8888.XDCE,6589.804,6700.04,6711.215999999999,6584.856,252098.0,8473859200.0
2017-07-19,T8888.CCFX,95.20100000000001,95.098,95.28299999999999,95.073,42768.0,40707583150.0
2017-07-19,BU8888.XSGE,2595.02,2612.195,2624.631,2594.084,682698.0,17750465600.0
2017-07-19,ZC8888.XZCE,605.46,602.686,606.9169999999999,598.0459999999999,213584.0,12944345400.0
2017-07-19,SM8888.XZCE,7108.399,7095.069,7171.633000000001,7059.028,130614.0,4648926400.0
2017-07-19,WR8888.XSGE,3100.0,3190.0,3100.0,3100.0,0.0,0.0
2017-07-19,RI8888.XZCE,2732.575,2734.454,2737.272,2732.575,14.0,764200.0
2017-07-19,FG8888.XZCE,1375.453,1438.043,1440.4779999999998,1373.624,815324.0,23283961800.0
2017-07-19,PP8888.XDCE,8221.392,8253.067,8286.396999999999,8199.715,370050.0,15260011600.0
2017-07-19,M8888.XDCE,2845.38,2830.515,2861.679,2824.562,1209166.0,34381829300.0
2017-07-19,AL8888.XSGE,14370.326000000001,14492.749,14513.158000000001,14362.618999999999,245630.0,17737581150.0
2017-07-19,CU8888.XSGE,47944.712999999996,48171.235,48180.822,47888.767,253424.0,60613761700.0
2017-07-19,SR8888.XZCE,6250.0019999999995,6241.185,6258.1759999999995,6205.5830000000005,505180.0,31516097400.0
2017-07-19,PM8888.XZCE,2472.0,2472.0,2472.0,2472.0,0.0,0.0
2017-07-19,P8888.XDCE,5280.82,5283.266,5291.846,5230.545999999999,609378.0,32227587100.0
2017-07-19,JD8888.XDCE,3932.7270000000003,3936.2329999999997,3962.715,3904.327,349168.0,13702329400.0
2017-07-19,WH8888.XZCE,2626.3190000000004,2651.6279999999997,2661.292,2626.107,3878.0,207896800.0
2017-07-19,A8888.XDCE,3845.482,3825.241,3860.974,3810.748,181252.0,6933463100.0
2017-07-19,B8888.XDCE,3326.066,3312.64,3337.934,3309.272,26.0,868000.0
2017-07-19,J8888.XDCE,1871.3210000000001,1914.115,1922.769,1865.352,215900.0,41226287700.0
2017-07-19,C8888.XDCE,1698.727,1690.057,1702.624,1688.3029999999999,664852.0,11242043800.0
2017-07-19,RU8888.XSGE,14052.91,14667.705,14691.513,13988.376,1211348.0,173401636700.0
2017-07-19,IH8888.CCFX,2619.419,2659.816,2660.218,2616.334,17075.0,13525061220.0
2017-07-19,IC8888.CCFX,5839.522,5970.866999999999,5983.451,5823.835,20003.0,23739794240.0
2017-07-19,OI8888.XZCE,6642.158,6660.039000000001,6660.039000000001,6591.512,198824.0,13094946800.0
2017-07-19,JR8888.XZCE,3321.0,3321.0,3321.0,3321.0,0.0,0.0
2017-07-19,I8888.XDCE,510.087,521.9680000000001,525.54,509.209,2606886.0,136059083800.0
2017-07-19,LR8888.XZCE,2903.0,2903.0,2903.0,2903.0,0.0,0.0
2017-07-19,ZN8888.XSGE,22909.025,22995.662999999997,23032.301,22766.783,623206.0,71398129800.0
2017-07-19,NI8888.XSGE,79384.567,80054.414,80356.562,79258.304,469510.0,37444027560.0
2017-07-19,AU8888.XSGE,274.393,274.142,274.832,273.944,114422.0,31372408600.0
2017-07-20,RU8888.XSGE,14734.743999999999,14701.822,14982.343,14602.774,1167856.0,173032216800.0
2017-07-20,SR8888.XZCE,6249.84,6274.956,6314.455,6241.052,628756.0,39532488400.0
2017-07-20,J8888.XDCE,1912.75,1883.4489999999998,1917.4189999999999,1877.786,200960.0,38505490600.0
2017-07-20,L8888.XDCE,9292.536,9651.318000000001,9702.786,9285.058,1420836.0,67791083900.0
2017-07-20,ZC8888.XZCE,604.0369999999999,602.21,606.378,599.562,173800.0,10542284400.0
2017-07-20,PM8888.XZCE,2472.0,2472.0,2472.0,2472.0,0.0,0.0
2017-07-20,AG8888.XSGE,3871.9629999999997,3854.0,3873.9809999999998,3835.242,392088.0,22682159040.0
2017-07-20,HC8888.XSGE,3704.883,3590.0820000000003,3706.518,3578.147,1344650.0,49307528640.0
2017-07-20,AL8888.XSGE,14478.498,14440.446000000002,14568.293,14419.014,300916.0,21810300250.0
2017-07-20,FG8888.XZCE,1440.263,1413.8139999999999,1441.601,1406.989,504552.0,14385980300.0
2017-07-20,Y8888.XDCE,6153.983,6198.9,6229.854,6138.068,516728.0,31929952900.0
2017-07-20,P8888.XDCE,5284.425,5336.387,5352.879,5278.501,647460.0,34634307900.0
2017-07-20,RS8888.XZCE,5001.0,5156.0,5236.0,5001.0,30.0,1557300.0
2017-07-20,RM8888.XZCE,2304.556,2313.808,2319.3579999999997,2297.208,608440.0,14173881200.0
2017-07-20,B8888.XDCE,3318.575,3316.652,3322.53,3315.6079999999997,20.0,663800.0
2017-07-20,RI8888.XZCE,2732.5159999999996,2745.613,2745.613,2732.5159999999996,30.0,1638300.0
2017-07-20,SM8888.XZCE,7050.1140000000005,6863.215,7190.56,6815.275,240756.0,8454585500.0
2017-07-20,NI8888.XSGE,80303.952,79198.22200000001,80409.677,78848.546,480464.0,38170971140.0
2017-07-20,WH8888.XZCE,2667.94,2676.1259999999997,2682.281,2658.699,2174.0,117568400.0
2017-07-20,V8888.XDCE,6687.974,6735.508000000001,6955.5740000000005,6651.149,542112.0,18635379700.0
2017-07-20,PB8888.XSGE,17432.841,17347.12,17465.885,17192.56,83686.0,7248745050.0
2017-07-20,MA8888.XZCE,2528.145,2538.657,2617.544,2518.333,1955794.0,50264938300.0
2017-07-20,A8888.XDCE,3833.4559999999997,3821.018,3853.8959999999997,3799.7940000000003,242126.0,9257922900.0
2017-07-20,RB8888.XSGE,3622.881,3456.683,3629.9790000000003,3449.123,9559276.0,340439296400.0
2017-07-20,FU8888.XSGE,3798.6,3798.6,3798.6,3798.6,0.0,0.0
2017-07-20,FB8888.XDCE,74.38600000000001,73.568,74.795,73.282,10.0,366400.0
2017-07-20,SF8888.XZCE,5780.295,5893.308000000001,5991.437,5780.266,65634.0,1988494700.0
2017-07-20,C8888.XDCE,1692.84,1698.211,1703.934,1690.217,676988.0,11453268600.0
2017-07-20,PP8888.XDCE,8282.154,8509.485,8643.53,8280.45,966098.0,40922159600.0
2017-07-20,T8888.CCFX,95.17200000000001,95.336,95.37100000000001,95.15899999999999,36412.0,34696251900.0
2017-07-20,IF8888.CCFX,3716.038,3731.19,3732.3459999999995,3706.565,22561.0,25204182060.0
2017-07-20,IH8888.CCFX,2658.449,2668.534,2669.79,2644.063,17186.0,13696165440.0
2017-07-20,I8888.XDCE,523.475,507.291,525.3580000000001,505.909,2861654.0,148751106900.0
2017-07-20,TF8888.CCFX,97.715,97.84,97.863,97.709,8901.0,8705975050.0
2017-07-20,CU8888.XSGE,48068.497,48006.606,48120.922,47775.174000000006,324920.0,77614357100.0
2017-07-20,LR8888.XZCE,2903.0,2903.0,2903.0,2903.0,0.0,0.0
2017-07-20,WR8888.XSGE,3320.0,3180.0,3341.0,3036.0,26.0,829520.0
2017-07-20,JM8888.XDCE,1241.464,1223.154,1250.2160000000001,1217.0910000000001,322560.0,24137766800.0
2017-07-20,BU8888.XSGE,2614.262,2595.251,2635.185,2591.197,973670.0,25325121680.0
2017-07-20,JD8888.XDCE,3941.659,3898.7870000000003,3947.522,3888.099,325664.0,12751267900.0
2017-07-20,TA8888.XZCE,5321.186,5261.814,5380.496,5243.605,2340464.0,62254268400.0
2017-07-20,M8888.XDCE,2834.929,2848.51,2858.893,2830.76,1127614.0,32114590600.0
2017-07-20,SN8888.XSGE,147018.242,146316.348,147530.39800000002,146152.47699999998,15340.0,2252310120.0
2017-07-20,CS8888.XDCE,1998.8629999999998,2009.139,2013.566,1995.467,303536.0,6087243200.0
2017-07-20,AU8888.XSGE,274.64799999999997,274.302,274.841,273.999,100618.0,27593236300.0
2017-07-20,IC8888.CCFX,5968.57,6002.142,6033.132,5964.143,17711.0,21387655960.0
2017-07-20,BB8888.XDCE,114.475,114.475,114.475,114.475,0.0,0.0
2017-07-20,ZN8888.XSGE,22852.151,22781.226000000002,22947.615,22605.202,841628.0,95747321600.0
2017-07-20,JR8888.XZCE,3290.0,3276.0,3290.0,3276.0,4.0,262600.0
2017-07-20,OI8888.XZCE,6662.556,6726.85,6766.603,6641.856,323706.0,21582285200.0
